Country Name,Country Code,Series Name,Series Code,2015
"Congo, Rep.",COG,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,..
"Congo, Rep.",COG,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,..
"Congo, Rep.",COG,PISA: Mean performance on the science scale,LO.PISA.SCI,..
"Congo, Rep.",COG,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,..
"Congo, Rep.",COG,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,..
Costa Rica,CRI,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,400.2534
Costa Rica,CRI,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,392.3128614
Costa Rica,CRI,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,408.4516122
Costa Rica,CRI,PISA: Mean performance on the reading scale,LO.PISA.REA,427.4875
Costa Rica,CRI,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,434.8748324
Costa Rica,CRI,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,419.8604865
Costa Rica,CRI,PISA: Mean performance on the science scale,LO.PISA.SCI,419.608
Costa Rica,CRI,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,410.8348596
Costa Rica,CRI,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,428.6659606
Cote d'Ivoire,CIV,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,..
Cote d'Ivoire,CIV,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,..
Cote d'Ivoire,CIV,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,..
Cote d'Ivoire,CIV,PISA: Mean performance on the reading scale,LO.PISA.REA,..
Cote d'Ivoire,CIV,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,..
Cote d'Ivoire,CIV,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,..
Cote d'Ivoire,CIV,PISA: Mean performance on the science scale,LO.PISA.SCI,..
Cote d'Ivoire,CIV,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,..
Cote d'Ivoire,CIV,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,..
Croatia,HRV,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,464.0401
Croatia,HRV,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,457.9611917
Croatia,HRV,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,470.5986679
Croatia,HRV,PISA: Mean performance on the reading scale,LO.PISA.REA,486.8632
Croatia,HRV,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,499.5857924
Croatia,HRV,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,473.1366891
Croatia,HRV,PISA: Mean performance on the science scale,LO.PISA.SCI,475.3912
Croatia,HRV,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,472.5863456
Croatia,HRV,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,478.4173245
Cuba,CUB,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,..
Cuba,CUB,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,..
Cuba,CUB,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,..
Cuba,CUB,PISA: Mean performance on the reading scale,LO.PISA.REA,..
Cuba,CUB,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,..
Cuba,CUB,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,..
Cuba,CUB,PISA: Mean performance on the science scale,LO.PISA.SCI,..
Cuba,CUB,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,..
Cuba,CUB,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,..
Cyprus,CYP,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,437.1443
Cyprus,CYP,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,439.5340713
Cyprus,CYP,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,434.706449
